,,,,,학점,,,시험,퀴즈,발표,프로젝트,과제물,참여도,기타,중간고사,기말고사,기타,강의실위치
166,기본중국어,10563,Peng Jing,3,3,2647,2647,100,0,0,0,0,0,0,,,,
167,기본중국어,10563,엄지,4,3,1736,1736,100,0,0,0,0,0,0,,,,
168,기본중국어,10563,최려홍,5,3,1635,1635,100,0,0,0,0,0,0,,,,
169,기본프랑스어,10564,Sylvie Mazo,1,3,2353,2353,60,10,0,0,10,10,10,,,,
170,기본프랑스어,10564,이성엽,2,3,1344,1344,100,0,0,0,0,0,0,,,,
171,기본프랑스어,10564,정선아,3,3,1635,1635,100,0,0,0,0,0,0,,,,
172,중급프랑스어,10565,Emmanuel Nicolas,1,3,1445,1445,50,20,0,0,10,10,10,,,,
173,기본독일어,10566,김미선,1,3,1534,1534,100,0,0,0,0,0,0,,,,
174,기본독일어,10566,홍수진,2,3,2142,2142,70,0,20,0,0,10,0,210422,210603,,
175,기본독일어,10566,Jan Creutzenberg,3,3,1635,1635,50,10,20,0,0,10,10,210421,210607,,
176,라틴어입문,10569,김선희,1,3,1445,1445,100,0,0,0,0,0,0,,,,
177,기본일본어,10570,"Yoshida, Reiko",1,3,2353,2353,100,0,0,0,0,0,0,,,,
178,기본일본어,10570,김지선,2,3,1445,1445,100,0,0,0,0,0,0,,,,
179,기본일본어,10570,"Yoshida, Reiko",3,3,1635,1635,100,0,0,0,0,0,0,,,,
180,기본일본어,10570,"Yoshida, Reiko",1,3,2353,2353,100,0,0,0,0,0,0,,,,
181,기본일본어,10570,김지선,2,3,1445,1445,100,0,0,0,0,0,0,,,,
182,기본일본어,10570,"Yoshida, Reiko",3,3,1635,1635,100,0,0,0,0,0,0,,,,
183,기본스페인어,10571,김유리,1,3,2353,2353,100,0,0,0,0,0,0,,,,
184,기본스페인어,10571,박숙희,2,3,1445,1445,70,10,10,0,0,5,5,210415,210614,,
185,기본스페인어,10571,이은해,3,3,1635,1635,100,0,0,0,0,0,0,,,,
186,기본스페인어,10571,김선이,4,3,1534,1534,100,0,0,0,0,0,0,,,,
187,기본러시아어,10572,차지원,1,3,2353,2353,70,0,0,0,15,15,0,210430,210618,,
188,생명윤리와법,10573,"김현철/

김은애",1,3,1736,1736,100,0,0,0,0,0,0,,,,
189,사회봉사I,10575,남상미,1,1,17,17,100,0,0,0,0,0,0,,,,
190,사회봉사I,10575,남상미,2,1,27,27,100,0,0,0,0,0,0,,,,
191,사회봉사I,10575,노미순,3,1,46,46,100,0,0,0,0,0,0,,,,
192,사회봉사I,10575,남상미,4,1,47,47,100,0,0,0,0,0,0,,,,
193,사회봉사I,10575,노미순,5,1,17,17,100,0,0,0,0,0,0,,,,
194,사회봉사I,10575,노미순,6,1,27,27,100,0,0,0,0,0,0,,,,
195,사회봉사I,10575,남상미,1,1,17,17,100,0,0,0,0,0,0,,,,
196,사회봉사I,10575,남상미,2,1,27,27,100,0,0,0,0,0,0,,,,
197,사회봉사I,10575,노미순,3,1,46,46,100,0,0,0,0,0,0,,,,
198,사회봉사I,10575,남상미,4,1,47,47,100,0,0,0,0,0,0,,,,
199,사회봉사I,10575,노미순,5,1,17,17,100,0,0,0,0,0,0,,,,
200,사회봉사I,10575,노미순,6,1,27,27,100,0,0,0,0,0,0,,,,
201,무용의이해,10576,김말복,1,3,1344,1344,100,0,0,0,0,0,0,,,,
202,무용의이해,10576,김말복,2,3,5534,5534,100,0,0,0,0,0,0,,,,
203,사회봉사II,10578,노미순,1,1,47,47,100,0,0,0,0,0,0,,,,
204,사회봉사II,10578,노미순,2,1,37,37,100,0,0,0,0,0,0,,,,
205,사회봉사II,10578,노미순,1,1,47,47,100,0,0,0,0,0,0,,,,
206,사회봉사II,10578,노미순,2,1,37,37,100,0,0,0,0,0,0,,,,
207,사회봉사III,10579,남상미,1,1,37,37,100,0,0,0,0,0,0,,,,
208,인물로읽는한국사,10581,김수자,1,3,1736,1736,100,0,0,0,0,0,0,,,,
209,Current Issues,10596,문혜진,1,3,1344,1344,100,0,0,0,0,0,0,,,,
210,Business and Technical English,10597,Brian D. Ridgeway,1,3,1344,1344,100,0,0,0,0,0,0,,,,
211,Cinema Arts and English,10643,Christopher Linville,1,3,1344,1344,100,0,0,0,0,0,0,,,,
212,교양합창,10650,김동근,1,3,1243,1243,100,0,0,0,0,0,0,,,,
213,교양합창,10650,김동근,2,3,1344,1344,100,0,0,0,0,0,0,,,,
214,문학과영화,10654,박제철,1,3,1736,1736,100,0,0,0,0,0,0,,,,
215,중국어독해,10662,엄지,1,3,1635,1635,100,0,0,0,0,0,0,,,,
216,시사중국어,10704,이현선,1,3,2647,2647,100,0,0,0,0,0,0,,,,
217,World Women through English,10709,민혜숙,1,3,1344,1344,100,0,0,0,0,0,0,,,,
218,평생교육실습,10736,,1,0,,null,100,0,0,0,0,0,0,,,,
219,평생교육경영학,10741,이진이,1,3,1736,1736,100,0,0,0,0,0,0,,,,
220,종교와문화,10767,박인희,1,3,2455,2455,100,0,0,0,0,0,0,,,,
221,신화·상상력·문화,10768,김지선,1,3,1344,1344,100,0,0,0,0,0,0,,,,
222,여성과사회정의,10772,정신희,1,3,1243,1243,100,0,0,0,0,0,0,,,,
223,글로벌시민을위한과학소양,10776,문지영,1,3,1635,1635,100,0,0,0,0,0,0,,,,
224,디지털매체와예술,10778,"박숙영/

엄현주",1,3,2353,2353,100,0,0,0,0,0,0,,,,
225,현장실습I,10801,조일현,1,1,,null,100,0,0,0,0,0,0,,,,
226,글로벌인턴십 I,10806,조일현,1,3,,null,100,0,0,0,0,0,0,,,,
227,Research Writing,10811,Caroline Kim,1,3,1344,1344,100,0,0,0,0,0,0,,,,
228,취업전략설계,10812,조일현,1,1,,null,100,0,0,0,0,0,0,,,,
229,시장경제세미나,10832,김세완,1,2,3637,3637,100,0,0,0,0,0,0,,,,
230,춤과명상,10834,한혜주,1,1,12,12,80,0,0,0,0,20,0,,210614,,
231,사고력과글쓰기,10839,유성진,1,3,1243,1243,100,0,0,0,0,0,0,,,,
329,인간과언어,10882,강소영,1,3,1243,1243,100,0,0,0,0,0,0,,,,
330,동양고전의현대적이해,10886,송정화,1,3,2556,2556,100,0,0,0,0,0,0,,,,
331,현대중국의이해,10887,김혜주,1,3,2746,2746,100,0,0,0,0,0,0,,,,체C209
332,독일어권문화의이해,10895,서유경,1,3,2455,2455,100,0,0,0,0,0,0,,,,
333,환상문학의세계,10896,서유경,1,3,2353,2353,100,0,0,0,0,0,0,,,,
336,영상이미지와젠더,10908,이수안,1,3,1344,1344,100,0,0,0,0,0,0,,,,캠B147
337,위험판단심리학,10910,김수현,1,3,1243,1243,100,0,0,0,0,0,0,,,,포356
338,예술의사회학적읽기,10912,최샛별,1,3,3354,3354,100,0,0,0,0,0,0,,,,캠B128
339,글로컬시대의아시아여성,10914,백경흔,1,3,1243,1243,100,0,0,0,0,0,0,,,,포359
340,건강이슈와영양솔루션,10915,김희선,1,3,2627,2627,100,0,0,0,0,0,0,,,,캠B161
341,뮤지컬댄스,10924,이지혜,1,1,13,13,100,0,0,0,0,0,0,,,,포367
342,브레인스펙트럼,10929,정준모,1,3,2353,2353,80,0,0,0,10,10,0,210423,210608,,
343,커리어탐색과역량개발,10948,임한려,1,3,2425,2425,100,0,0,0,0,0,0,,,,
344,커리어탐색과역량개발,10948,임한려,2,3,3435,3435,100,0,0,0,0,0,0,,,,
345,국제구호와개발협력,10949,"오진환/

한비야",1,3,2223,2223,100,0,0,0,0,0,0,,,,
346,디지털스토리텔링의이해,10950,정은혜,1,3,1243,1243,100,0,0,0,0,0,0,,,,
347,Introductory Psychology in Education,10952,오인수,1,3,,null,100,0,0,0,0,0,0,,,,
348,인문학으로세상읽기,10956,이수안,1,1,37,37,100,0,0,0,0,0,0,,,,캠B137
349,Introduction to Counseling,10962,오인수,1,3,,null,100,0,0,0,0,0,0,,,,캠B138
353,Therapeutic Use of Music on Human Behavior,10978,정현주,1,3,,null,100,0,0,0,0,0,0,,,,캠B138
364,평생교육프로그램개발론,10996,이진이,1,3,1534,1534,100,0,0,0,0,0,0,,,,
365,Campus CEO 특강,11024,이용덕,1,3,1516,1516,100,0,0,0,0,0,0,,,,캠B225
366,독일어I,11033,진일상,1,2,1635,1635,100,0,0,0,0,0,0,,,,캠B132
367,"퍼포먼스인문학: 제의,놀이,연극",11035,최성희,1,3,,null,100,0,0,0,0,0,0,,,,
368,중국어Ⅰ,11036,Peng Jing,1,2,1243,1243,100,0,0,0,0,0,0,,,,
369,디지털미디어시대의동아시아문자,11038,문영희,1,3,3354,3354,100,0,0,0,0,0,0,,,,
370,키워드로읽는중국문화,11039,전주현,1,3,2556,2556,100,0,0,0,0,0,0,,,,
371,인간과철학적사유,11041,한충수,1,3,1445,1445,100,0,0,0,0,0,0,,,,
372,컴퓨터와마음,11042,김선희,1,3,2746,2746,100,0,0,0,0,0,0,,,,
373,패러다임전환과비판이론,11045,이지영,1,3,2455,2455,100,0,0,0,0,0,0,,,,
374,과학적추론의이해,11047,이정,1,3,1344,1344,100,0,0,0,0,0,0,,,,
375,Special Topics in English,11052,David J. Hamilton,1,3,1534,1534,100,0,0,0,0,0,0,,,,
376,21세기사회와문학의대화,11053,정보람,1,3,1344,1344,100,0,0,0,0,0,0,,,,
377,연어프로젝트: 한국여성나의뿌리를찾아서,11054,조혜란,1,3,1445,1445,100,0,0,0,0,0,0,,,,
378,옛시와그림의만남,11055,김동준,1,3,1243,1243,100,0,0,0,0,0,0,,,,캠B130
379,문화로읽는한국사,11056,박초롱,1,3,3354,3354,100,0,0,0,0,0,0,,,,
380,주제로살펴보는서양사,11057,노경덕,1,3,1344,1344,100,0,0,0,0,0,0,,,,
381,한국사의새로운이해,11058,서정현,1,3,1445,1445,100,0,0,0,0,0,0,,,,
382,동아시아의역사분쟁과한국사,11060,안유림,1,3,1534,1534,100,0,0,0,0,0,0,,,,
383,영화속역사읽기,11062,백다해,1,3,1736,1736,100,0,0,0,0,0,0,,,,
384,러시아어 I,11064,차지원,1,2,2455,2455,80,0,0,0,10,10,0,210430,210618,,
385,스페인어 I,11066,조혜진,1,2,3354,3354,100,0,0,0,0,0,0,,,,
386,프랑스어Ⅰ,11073,Emmanuel Nicolas,1,2,1635,1635,50,20,0,0,10,10,10,,,,
387,프랑스문화의이해,11076,최이정,1,3,1534,1534,100,0,0,0,0,0,0,,,,
388,프랑스어독해,11077,전혜영,1,3,2455,2455,100,0,0,0,0,0,0,,,,
389,젠더와역사,11078,차민정,1,3,1243,1243,100,0,0,0,0,0,0,,,,
390,장애와사회,11079,박승희,1,3,1635,1635,100,0,0,0,0,0,0,,,,
391,현장실습II,11080,조일현,1,3,,null,100,0,0,0,0,0,0,,,,
392,미학과미술,11083,박일호,1,3,5534,5534,100,0,0,0,0,0,0,,,,
393,대학생을위한운동과영양,11086,손남정,1,3,1534,1534,100,0,0,0,0,0,0,,,,
394,움직임을통한감정코칭,11088,손남정,1,3,1635,1635,100,0,0,0,0,0,0,,,,
395,도자기의역사,11090,장남원,1,3,2556,2556,100,0,0,0,0,0,0,,,,
396,일본어Ⅰ,11091,Tsutsui Akihiro,1,2,1243,1243,100,0,0,0,0,0,0,,,,
397,일본어Ⅰ,11091,Tsutsui Akihiro,2,2,2746,2746,100,0,0,0,0,0,0,,,,
398,일본어커뮤니케이션,11093,Tsutsui Akihiro,1,3,1534,1534,100,0,0,0,0,0,0,,,,
413,인터넷과법,11103,"최승원/

배유진",1,3,3637,3637,100,0,0,0,0,0,0,,,,
414,21세기의예술과인간,11107,전혜숙,1,3,1635,1635,100,0,0,0,0,0,0,,,,
415,여행문학과세계인식,11109,송태현,1,3,2353,2353,80,0,0,0,10,10,0,210413,210611,,
416,예술가와그의시대,11110,김진희,1,3,1445,1445,100,0,0,0,0,0,0,,,,
417,SF영화로배우는철학,11111,신상규,1,3,2647,2647,100,0,0,0,0,0,0,,,,
418,다매체시대의장르문학,11112,오윤호,1,3,1344,1344,100,0,0,0,0,0,0,,,,
419,여성의몸과창조적움직임,11113,한혜주,1,3,1445,1445,50,0,30,0,0,20,0,,,,
420,인간은왜춤을추는가,11114,유화정,1,3,1243,1243,100,0,0,0,0,0,0,,,,
426,미래학입문,11131,황보원주,1,3,2627,2627,100,0,0,0,0,0,0,,,,
427,현대영어권문학의동향,11134,신희섭,1,3,2353,2353,100,0,0,0,0,0,0,,,,
428,문화로읽는현대시의세계,11146,김진희,1,3,1344,1344,100,0,0,0,0,0,0,,,,
429,문학으로보는사랑의역사,11148,김경미,1,3,1344,1344,100,0,0,0,0,0,0,,,,
430,문화콘텐츠기획의이해,11153,황보원주,1,3,4647,4647,100,0,0,0,0,0,0,,,,
431,사물인터넷개론,11154,"김기영/

양재희",1,3,1344,1344,100,0,0,0,0,0,0,,,,
432,과학과허구,11155,손아정,1,3,1445,1445,100,0,0,0,0,0,0,,,,
433,한국어와한국문화:기초,11158,"김민정/

박수경",1,0,1.11E+15,1.11E+15,100,0,0,0,0,0,0,,,,
