5,38,20,융복합교양(문학과언어),1,3
5,38,20,융복합교양(표현과예술),1,3
5,38,20,융복합교양(역사와철학),1,3
5,38,20,융복합교양(인간과사회),1,3
5,38,20,융복합교양(과학과기술),1,3
7,38,20,전공필수,3,12
8,38,20,전공선택,11,33
1,38,21,이화진선미(기세),1,3
2,38,21,통합적사고와글쓰기,1,3
9,38,21,컴퓨팅과수리적사고,1,3
3,38,21,영어,1,3
4,38,21,제2외국어,1,3
5,38,21,융복합교양(문학과언어),1,3
5,38,21,융복합교양(표현과예술),1,3
5,38,21,융복합교양(역사와철학),1,3
5,38,21,융복합교양(인간과사회),1,3
5,38,21,융복합교양(과학과기술),1,3
7,38,21,전공필수,3,12
8,38,21,전공선택,11,33
1,39,20,이화진선미(기세),1,3
2,39,20,통합적사고와글쓰기,1,3
9,39,20,컴퓨팅과수리적사고,1,3
3,39,20,영어,1,3
4,39,20,제2외국어,1,3
5,39,20,융복합교양(문학과언어),1,3
5,39,20,융복합교양(표현과예술),1,3
5,39,20,융복합교양(역사와철학),1,3
5,39,20,융복합교양(인간과사회),1,3
5,39,20,융복합교양(과학과기술),1,3
7,39,20,전공필수,3,12
8,39,20,전공선택,11,33
1,39,21,이화진선미(기세),1,3
2,39,21,통합적사고와글쓰기,1,3
9,39,21,컴퓨팅과수리적사고,1,3
3,39,21,영어,1,3
4,39,21,제2외국어,1,3
5,39,21,융복합교양(문학과언어),1,3
5,39,21,융복합교양(표현과예술),1,3
5,39,21,융복합교양(역사와철학),1,3
5,39,21,융복합교양(인간과사회),1,3
5,39,21,융복합교양(과학과기술),1,3
7,39,21,전공필수,3,12
8,39,21,전공선택,11,33
1,40,20,이화진선미(기세),1,3
2,40,20,통합적사고와글쓰기,1,3
9,40,20,컴퓨팅과수리적사고,1,3
3,40,20,영어,1,3
4,40,20,제2외국어,1,3
5,40,20,융복합교양(문학과언어),1,3
5,40,20,융복합교양(표현과예술),1,3
5,40,20,융복합교양(역사와철학),1,3
5,40,20,융복합교양(인간과사회),1,3
5,40,20,융복합교양(과학과기술),1,3
7,40,20,전공필수,3,12
8,40,20,전공선택,11,33
1,40,21,이화진선미(기세),1,3
2,40,21,통합적사고와글쓰기,1,3
9,40,21,컴퓨팅과수리적사고,1,3
3,40,21,영어,1,3
4,40,21,제2외국어,1,3
5,40,21,융복합교양(문학과언어),1,3
5,40,21,융복합교양(표현과예술),1,3
5,40,21,융복합교양(역사와철학),1,3
5,40,21,융복합교양(인간과사회),1,3
5,40,21,융복합교양(과학과기술),1,3
7,40,21,전공필수,3,12
8,40,21,전공선택,11,33
1,41,20,이화진선미(기세),1,3
2,41,20,통합적사고와글쓰기,1,3
9,41,20,컴퓨팅과수리적사고,1,3
3,41,20,영어,1,3
4,41,20,제2외국어,1,3
5,41,20,융복합교양(문학과언어),1,3
5,41,20,융복합교양(표현과예술),1,3
5,41,20,융복합교양(역사와철학),1,3
5,41,20,융복합교양(인간과사회),1,3
5,41,20,융복합교양(과학과기술),1,3
7,41,20,전공필수,3,12
8,41,20,전공선택,11,33
1,41,21,이화진선미(기세),1,3
2,41,21,통합적사고와글쓰기,1,3
9,41,21,컴퓨팅과수리적사고,1,3
3,41,21,영어,1,3
4,41,21,제2외국어,1,3
5,41,21,융복합교양(문학과언어),1,3
5,41,21,융복합교양(표현과예술),1,3
5,41,21,융복합교양(역사와철학),1,3
5,41,21,융복합교양(인간과사회),1,3
5,41,21,융복합교양(과학과기술),1,3
7,41,21,전공필수,3,12
8,41,21,전공선택,11,33
1,42,20,이화진선미(기세),1,3
2,42,20,통합적사고와글쓰기,1,3
9,42,20,컴퓨팅과수리적사고,1,3
3,42,20,영어,1,3
4,42,20,제2외국어,1,3
5,42,20,융복합교양(문학과언어),1,3
5,42,20,융복합교양(표현과예술),1,3
5,42,20,융복합교양(역사와철학),1,3
5,42,20,융복합교양(인간과사회),1,3
5,42,20,융복합교양(과학과기술),1,3
7,42,20,전공필수,3,12
8,42,20,전공선택,11,33
1,42,21,이화진선미(기세),1,3
2,42,21,통합적사고와글쓰기,1,3
9,42,21,컴퓨팅과수리적사고,1,3
3,42,21,영어,1,3
4,42,21,제2외국어,1,3
5,42,21,융복합교양(문학과언어),1,3
5,42,21,융복합교양(표현과예술),1,3
5,42,21,융복합교양(역사와철학),1,3
5,42,21,융복합교양(인간과사회),1,3
5,42,21,융복합교양(과학과기술),1,3
7,42,21,전공필수,3,12
8,42,21,전공선택,11,33
1,43,20,이화진선미(기세),1,3
2,43,20,통합적사고와글쓰기,1,3
9,43,20,컴퓨팅과수리적사고,1,3
3,43,20,영어,1,3
4,43,20,제2외국어,1,3
5,43,20,융복합교양(문학과언어),1,3
5,43,20,융복합교양(표현과예술),1,3
5,43,20,융복합교양(역사와철학),1,3
5,43,20,융복합교양(인간과사회),1,3
5,43,20,융복합교양(과학과기술),1,3
7,43,20,전공필수,3,12
8,43,20,전공선택,11,33
1,43,21,이화진선미(기세),1,3
2,43,21,통합적사고와글쓰기,1,3
9,43,21,컴퓨팅과수리적사고,1,3
3,43,21,영어,1,3
4,43,21,제2외국어,1,3
5,43,21,융복합교양(문학과언어),1,3
5,43,21,융복합교양(표현과예술),1,3
5,43,21,융복합교양(역사와철학),1,3
5,43,21,융복합교양(인간과사회),1,3
5,43,21,융복합교양(과학과기술),1,3
7,43,21,전공필수,3,12
8,43,21,전공선택,11,33
1,44,20,이화진선미(기세),1,3
2,44,20,통합적사고와글쓰기,1,3
9,44,20,컴퓨팅과수리적사고,1,3
3,44,20,영어,1,3
4,44,20,제2외국어,1,3
5,44,20,융복합교양(문학과언어),1,3
5,44,20,융복합교양(표현과예술),1,3
5,44,20,융복합교양(역사와철학),1,3
5,44,20,융복합교양(인간과사회),1,3
5,44,20,융복합교양(과학과기술),1,3
7,44,20,전공필수,3,12
8,44,20,전공선택,11,33
1,44,21,이화진선미(기세),1,3
2,44,21,통합적사고와글쓰기,1,3
9,44,21,컴퓨팅과수리적사고,1,3
3,44,21,영어,1,3
4,44,21,제2외국어,1,3
5,44,21,융복합교양(문학과언어),1,3
5,44,21,융복합교양(표현과예술),1,3
5,44,21,융복합교양(역사와철학),1,3
5,44,21,융복합교양(인간과사회),1,3
5,44,21,융복합교양(과학과기술),1,3
7,44,21,전공필수,3,12
8,44,21,전공선택,11,33
1,45,20,이화진선미(기세),1,3
2,45,20,통합적사고와글쓰기,1,3
9,45,20,컴퓨팅과수리적사고,1,3
3,45,20,영어,1,3
4,45,20,제2외국어,1,3
5,45,20,융복합교양(문학과언어),1,3
5,45,20,융복합교양(표현과예술),1,3
5,45,20,융복합교양(역사와철학),1,3
5,45,20,융복합교양(인간과사회),1,3
5,45,20,융복합교양(과학과기술),1,3
7,45,20,전공필수,3,12
8,45,20,전공선택,11,33
1,45,21,이화진선미(기세),1,3
2,45,21,통합적사고와글쓰기,1,3
9,45,21,컴퓨팅과수리적사고,1,3
3,45,21,영어,1,3
4,45,21,제2외국어,1,3
5,45,21,융복합교양(문학과언어),1,3
5,45,21,융복합교양(표현과예술),1,3
5,45,21,융복합교양(역사와철학),1,3
5,45,21,융복합교양(인간과사회),1,3
5,45,21,융복합교양(과학과기술),1,3
7,45,21,전공필수,3,12
8,45,21,전공선택,11,33
1,46,18,이화진선미(기세),1,3
1,46,18,이화진선미(나리),1,2
2,46,18,우리말과글쓰기,1,3
2,46,18,고전읽기와글쓰기,1,2
3,46,18,영어,2,6
4,46,18,제2외국어,1,4
5,46,18,융복합교양(문학과언어),1,3
5,46,18,융복합교양(표현과예술),1,3
5,46,18,융복합교양(역사와철학),1,3
5,46,18,융복합교양(인간과사회),1,3
5,46,18,융복합교양(과학과기술),1,3
6,46,18,융합기초,1,3
7,46,18,전공기초,10,30
8,46,18,전공선택,21,62
1,46,19,이화진선미(기세),1,3
1,46,19,이화진선미(나리),1,2
2,46,19,우리말과글쓰기,1,3
2,46,19,고전읽기와글쓰기,1,2
3,46,19,영어,2,6
4,46,19,제2외국어,1,4
5,46,19,융복합교양(문학과언어),1,3
5,46,19,융복합교양(표현과예술),1,3
5,46,19,융복합교양(역사와철학),1,3
5,46,19,융복합교양(인간과사회),1,3
5,46,19,융복합교양(과학과기술),1,3
6,46,19,융합기초,1,3
7,46,19,전공기초,10,30
8,46,19,전공선택,21,63
1,47,18,이화진선미(기세),1,3
1,47,18,이화진선미(나리),1,2
2,47,18,우리말과글쓰기,1,3
2,47,18,고전읽기와글쓰기,1,2
3,47,18,영어,2,6
4,47,18,제2외국어,1,4
5,47,18,융복합교양(문학과언어),1,3
5,47,18,융복합교양(표현과예술),1,3
5,47,18,융복합교양(역사와철학),1,3
5,47,18,융복합교양(인간과사회),1,3
5,47,18,융복합교양(과학과기술),1,3
6,47,18,융합기초,1,3
7,47,18,전공기초,10,30
8,47,18,전공선택,21,62
1,47,19,이화진선미(기세),1,3
1,47,19,이화진선미(나리),1,2
2,47,19,우리말과글쓰기,1,3
2,47,19,고전읽기와글쓰기,1,2
3,47,19,영어,2,6
4,47,19,제2외국어,1,4
5,47,19,융복합교양(문학과언어),1,3
5,47,19,융복합교양(표현과예술),1,3
5,47,19,융복합교양(역사와철학),1,3
5,47,19,융복합교양(인간과사회),1,3
5,47,19,융복합교양(과학과기술),1,3
6,47,19,융합기초,1,3
7,47,19,전공기초,10,30
8,47,19,전공선택,21,63
1,48,18,이화진선미(기세),1,3
1,48,18,이화진선미(나리),1,2
2,48,18,우리말과글쓰기,1,3
2,48,18,고전읽기와글쓰기,1,2
3,48,18,영어,2,6
4,48,18,제2외국어,1,4
5,48,18,융복합교양(문학과언어),1,3
5,48,18,융복합교양(표현과예술),1,3
5,48,18,융복합교양(역사와철학),1,3
5,48,18,융복합교양(인간과사회),1,3
5,48,18,융복합교양(과학과기술),1,3
6,48,18,융합기초,1,3
7,48,18,전공기초,10,30
8,48,18,전공선택,21,62
1,48,19,이화진선미(기세),1,3
1,48,19,이화진선미(나리),1,2
2,48,19,우리말과글쓰기,1,3
