5,2,18,융복합교양(표현과예술),1,3,,
5,2,18,융복합교양(역사와철학),1,3,,
5,2,18,융복합교양(인간과사회),1,3,,
5,2,18,융복합교양(과학과기술),1,3,,
6,2,18,융합기초,1,3,,
8,2,18,전공선택,21,63,,
1,2,19,이화진선미(기세),1,3,,
1,2,19,이화진선미(나리),1,2,,
2,2,19,우리말과글쓰기,1,3,,
2,2,19,고전읽기와글쓰기,1,2,,
3,2,19,영어,2,6,,
4,2,19,제2외국어,1,4,,
5,2,19,융복합교양(문학과언어),1,3,,
5,2,19,융복합교양(표현과예술),1,3,,
5,2,19,융복합교양(역사와철학),1,3,,
5,2,19,융복합교양(인간과사회),1,3,,
5,2,19,융복합교양(과학과기술),1,3,,
6,2,19,융합기초,1,3,,
8,2,19,전공선택,21,63,,
1,4,18,이화진선미(기세),1,3,,
1,4,18,이화진선미(나리),1,2,,
2,4,18,우리말과글쓰기,1,3,,
2,4,18,고전읽기와글쓰기,1,2,,
3,4,18,영어,2,6,,
4,4,18,제2외국어,1,4,,
5,4,18,융복합교양(문학과언어),1,3,,
5,4,18,융복합교양(표현과예술),1,3,,
5,4,18,융복합교양(역사와철학),1,3,,
5,4,18,융복합교양(인간과사회),1,3,,
5,4,18,융복합교양(과학과기술),1,3,,
6,4,18,융합기초,1,3,,
8,4,18,전공선택,21,63,,
1,4,19,이화진선미(기세),1,3,,
1,4,19,이화진선미(나리),1,2,,
2,4,19,우리말과글쓰기,1,3,,
2,4,19,고전읽기와글쓰기,1,2,,
3,4,19,영어,2,6,,
4,4,19,제2외국어,1,4,,
5,4,19,융복합교양(문학과언어),1,3,,
5,4,19,융복합교양(표현과예술),1,3,,
5,4,19,융복합교양(역사와철학),1,3,,
5,4,19,융복합교양(인간과사회),1,3,,
5,4,19,융복합교양(과학과기술),1,3,,
6,4,19,융합기초,1,3,,
8,4,19,전공선택,21,63,,
1,5,18,이화진선미(기세),1,3,,
1,5,18,이화진선미(나리),1,2,,
2,5,18,우리말과글쓰기,1,3,,
2,5,18,고전읽기와글쓰기,1,2,,
3,5,18,영어,2,6,,
4,5,18,제2외국어,1,4,,
5,5,18,융복합교양(문학과언어),1,3,,
5,5,18,융복합교양(표현과예술),1,3,,
5,5,18,융복합교양(역사와철학),1,3,,
5,5,18,융복합교양(인간과사회),1,3,,
5,5,18,융복합교양(과학과기술),1,3,,
6,5,18,융합기초,1,3,,
8,5,18,전공선택,21,63,,
1,5,19,이화진선미(기세),1,3,,
1,5,19,이화진선미(나리),1,2,,
2,5,19,우리말과글쓰기,1,3,,
2,5,19,고전읽기와글쓰기,1,2,,
3,5,19,영어,2,6,,
4,5,19,제2외국어,1,4,,
5,5,19,융복합교양(문학과언어),1,3,,
5,5,19,융복합교양(표현과예술),1,3,,
5,5,19,융복합교양(역사와철학),1,3,,
5,5,19,융복합교양(인간과사회),1,3,,
5,5,19,융복합교양(과학과기술),1,3,,
6,5,19,융합기초,1,3,,
8,5,19,전공선택,21,63,,
1,6,18,이화진선미(기세),1,3,,
1,6,18,이화진선미(나리),1,2,,
2,6,18,우리말과글쓰기,1,3,,
2,6,18,고전읽기와글쓰기,1,2,,
3,6,18,영어,2,6,,
4,6,18,제2외국어,1,4,,
5,6,18,융복합교양(문학과언어),1,3,,
5,6,18,융복합교양(표현과예술),1,3,,
5,6,18,융복합교양(역사와철학),1,3,,
5,6,18,융복합교양(인간과사회),1,3,,
5,6,18,융복합교양(과학과기술),1,3,,
6,6,18,융합기초,1,3,,
8,6,18,전공선택,21,63,,
1,6,19,이화진선미(기세),1,3,,
1,6,19,이화진선미(나리),1,2,,
2,6,19,우리말과글쓰기,1,3,,
2,6,19,고전읽기와글쓰기,1,2,,
3,6,19,영어,2,6,,
4,6,19,제2외국어,1,4,,
5,6,19,융복합교양(문학과언어),1,3,,
5,6,19,융복합교양(표현과예술),1,3,,
5,6,19,융복합교양(역사와철학),1,3,,
5,6,19,융복합교양(인간과사회),1,3,,
5,6,19,융복합교양(과학과기술),1,3,,
6,6,19,융합기초,1,3,,
8,6,19,전공선택,21,63,,
1,7,18,이화진선미(기세),1,3,,
1,7,18,이화진선미(나리),1,2,,
2,7,18,우리말과글쓰기,1,3,,
2,7,18,고전읽기와글쓰기,1,2,,
3,7,18,영어,2,6,,
4,7,18,제2외국어,1,4,,
5,7,18,융복합교양(문학과언어),1,3,,
5,7,18,융복합교양(표현과예술),1,3,,
5,7,18,융복합교양(역사와철학),1,3,,
5,7,18,융복합교양(인간과사회),1,3,,
5,7,18,융복합교양(과학과기술),1,3,,
6,7,18,융합기초,1,3,,
8,7,18,전공선택,21,63,,
1,7,19,이화진선미(기세),1,3,,
1,7,19,이화진선미(나리),1,2,,
2,7,19,우리말과글쓰기,1,3,,
2,7,19,고전읽기와글쓰기,1,2,,
3,7,19,영어,2,6,,
4,7,19,제2외국어,1,4,,
5,7,19,융복합교양(문학과언어),1,3,,
5,7,19,융복합교양(표현과예술),1,3,,
5,7,19,융복합교양(역사와철학),1,3,,
5,7,19,융복합교양(인간과사회),1,3,,
5,7,19,융복합교양(과학과기술),1,3,,
